id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
2620	IVORY RED BLOCK PRINTED PETTICOAT SKIRT-FREESIZE	Our products are handmade and hand block printed, you may find certain irregularities in the print, this only adds to the unique charm of this product	https://www.chidiyaa.com/ivory-red-block-printed-petticoat-skirt-freesize.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6437_2.jpg	Chidiyaa	new	in stock	32.00 USD	Sonphool, for the love of Marigold and Lilies...     The Marigold flower is called Sonphool in the Kutch region of Gujarat, and we are drooling all over it..  These mughal inspired motifs are specially designed and crafted in teak wood to create prints exclusive to Chidiyaa and yes it is all for the Love of Marigold and lilies..    DISCLAIMER: THIS PRODUCT IS MADE TO ORDER AND NEEDS 15 TO 20 DAYS TO SHIP	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
2622	BLUE BLOCK PRINTED PETTICOAT SKIRT-FREESIZE	Our products are handmade and hand block printed, you may find certain irregularities in the print, this only adds to the unique charm of this product	https://www.chidiyaa.com/blue-block-printed-petticoat-skirt-freesize.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6234_2.jpg	Chidiyaa	new	in stock	32.00 USD	Sonphool, for the love of Marigold and Lilies...     The Marigold flower is called Sonphool in the Kutch region of Gujarat, and we are drooling all over it..  These mughal inspired motifs are specially designed and crafted in teak wood to create prints exclusive to Chidiyaa and yes it is all for the Love of Marigold and lilies..    DISCLAIMER: THIS PRODUCT IS MADE TO ORDER AND NEEDS 15 TO 20 DAYS TO SHIP	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
2630	BLACK AND WHITE BLOCK PRINTED SKIRT-FREESIZE	Our products are handmade and hand block printed, you may find certain irregularities in the print, this only adds to the unique charm of this product	https://www.chidiyaa.com/black-and-white-block-printed-skirt-freesize.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6698.jpg	Chidiyaa	new	out of stock	26.00 USD	Free size skirt with colored tussles details..	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
2631	BLACK AND WHITE BLOCK PRINTED SKIRT-FREESIZE	Our products are handmade and hand block printed, you may find certain irregularities in the print, this only adds to the unique charm of this product	https://www.chidiyaa.com/black-and-white-block-printed-skirt-freesize-2654.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6764.jpg	Chidiyaa	new	in stock	26.00 USD	Free size skirt with colored tussles details..	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
2632	BLACK AND WHITE BLOCK PRINTED SKIRT-FREESIZE	Our products are handmade and hand block printed, you may find certain irregularities in the print, this only adds to the unique charm of this product	https://www.chidiyaa.com/black-and-white-block-printed-skirt-freesize-2655.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6771.jpg	Chidiyaa	new	in stock	26.00 USD	Free size skirt with colored tussles details..	Ajrakh Love > Shop > Kurtis & Bottoms > Skirts & Pants		
2693	Ivory Red Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-red-block-printed-cotton-mul-saree-2920.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_6963_2.jpg	Chidiyaa	new	out of stock	48.00 USD	As beautiful as the Mogra. These cotton sarees are handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind.	Ajrakh Love > Shop > Sarees | Ajrakh Love > Mogra		
2695	Ivory Red Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-red-block-printed-cotton-mul-saree-2922.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7152.jpg	Chidiyaa	new	in stock	48.00 USD	As beautiful as the Mogra. These cotton sarees are handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind.	Ajrakh Love > Shop > Sarees | Ajrakh Love > Mogra		
2696	Ivory Red Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-red-block-printed-cotton-mul-saree-2923.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7055.jpg	Chidiyaa	new	in stock	48.00 USD	As beautiful as the Mogra. These cotton sarees are handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind.	Ajrakh Love > Shop > Sarees | Ajrakh Love > Mogra		
2698	Ivory Red Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-red-block-printed-cotton-mul-saree-2924.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7020.jpg	Chidiyaa	new	in stock	48.00 USD	As beautiful as the Mogra. These cotton sarees are handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind.	Ajrakh Love > Shop > Sarees | Ajrakh Love > Mogra		
2699	Ivory Red Block Printed Cotton Mul Saree	This Saree is handmade and hand block printed, you may find certain irregularity in the print. This only adds to the unique charm of this garment.    NOTE: This product does not include the crop top, top is available for purchase separately	https://www.chidiyaa.com/ivory-red-block-printed-cotton-mul-saree-2925.html	https://www.chidiyaa.com/media/catalog/product/i/m/img_7088.jpg	Chidiyaa	new	in stock	48.00 USD	As beautiful as the Mogra. These cotton sarees are handcrafted in the softest mulmul. Designed with well placed block prints using motifs from Rajasthan, which are century old, passed on from one generation to the order.. making every piece one of it's kind.	Ajrakh Love > Shop > Sarees | Ajrakh Love > Mogra		
